id,name,age,income,company,gender
1,Rosemarie,65,17687.38,Howe LLC,
2,Jocelin,36,,"Collins, Sawayn and Bruen",1
3,Anthia,25,,"Klocko, Ward and Larson",1
4,Hephzibah,55,11383.1,Rau Inc,
5,Roldan,59,18972.5,"Gibson, Mills and Jacobson",0
6,Kassie,,,O'Keefe Group,1
7,Harley,24,12124.23,"Gorczany, Schaefer and Ledner",1
8,Bryon,38,,Parker and Sons,0
9,Swen,,38571.13,Kemmer-Murphy,0
10,April,63,,"Kuvalis, Lockman and Rau",1
11,Velma,29,,Langosh Inc,1
12,Chev,,39004.01,Simonis Inc,0
13,Skipp,32,36251.55,Cartwright-O'Kon,0
14,Ximenes,65,39649.35,Marquardt and Sons,0
15,Reginauld,,15802.86,Feest-Lynch,0
16,Hank,36,,Bode Inc,
17,Lennie,,,Stiedemann-Langworth,0
18,Isahella,35,33861.98,"Wiegand, Wintheiser and Beahan",1
19,Elfrieda,51,,Will Inc,1
20,Tripp,,,"Hermiston, Schiller and Quigley",0
21,Cathi,62,22875.66,Steuber-Haley,1
22,Eustace,,11895.68,Nicolas Group,0
23,Avictor,,27721.68,Prohaska-Weimann,0
24,Boot,,,Altenwerth-Cole,
25,Glory,,40127.68,"Effertz, Hoeger and Tillman",1
26,Piggy,39,32230.59,Gutmann and Sons,0
27,Maurice,48,,Murphy and Sons,0
28,Hardy,55,,"Hoeger, Dooley and Denesik",0
29,Emlyn,,17671.36,"Lesch, MacGyver and Spinka",0
30,Shelley,48,,"Cummings, Daugherty and Beahan",0
31,Byrle,65,27076.66,Tremblay Inc,0
32,Julianna,,,Purdy-Bednar,1
33,Conway,42,27720.72,Swift and Sons,
34,Lurlene,52,49735.57,"Romaguera, Barton and Abernathy",1
35,Rhiamon,26,28177.1,King Inc,1
36,Sidoney,,,Sporer Inc,1
37,Ilysa,,37002.66,Johnston LLC,
38,Estele,49,42062.96,"Collier, Stokes and Ritchie",1
39,Mariquilla,65,,Kirlin-O'Reilly,
40,Benji,43,,Emard-McCullough,0
41,Jaquenetta,41,,"Baumbach, Fisher and Rice",1
42,Lon,39,,Torp-Mohr,0
43,Sophey,,,"Ondricka, Weissnat and Romaguera",1
44,Dominick,37,,"Stanton, Daugherty and Zemlak",0
45,Warde,,,"Gorczany, Powlowski and Cremin",0
46,Ugo,68,35717.5,Bednar LLC,0
47,Buddie,51,,"Tillman, West and McLaughlin",0
48,Juditha,41,15680.89,Metz-Smith,1
49,Davie,64,34404.41,Ullrich-Dicki,0
50,Edin,,44172.69,Gorczany Group,1
51,Miof mela,49,29030.81,"Goldner, Breitenberg and Marks",1
52,Gib,,,"Green, Nader and Legros",
53,Charley,70,,Leuschke-Rutherford,0
54,Gun,46,10027.91,Dibbert and Sons,0
55,Clementius,65,,Bernier-Jakubowski,0
56,Fiorenze,20,10895.66,Schiller-Schamberger,
57,Ave,26,29038.4,Torp-Langosh,0
58,Merridie,62,11283.54,Swift LLC,
59,Helga,,20489.18,Bauch-Lockman,1
60,Jessa,37,,"Padberg, Murphy and Veum",1
61,Odette,61,15116.92,"Cremin, Veum and Brakus",1
62,Priscilla,40,24645.08,Mitchell Group,1
63,Prudi,,42994.47,Heaney-Buckridge,
64,Danny,37,31421.95,Conroy Group,0
65,Kissee,35,37741.47,McLaughlin-Volkman,
66,Gradey,,49319.01,Quigley Inc,0
67,Natka,55,19103.16,Mitchell-Gleason,1
68,Lyon,51,,Stehr-Cronin,0
69,Booth,65,,Schinner Group,0
70,Valentia,,,Labadie and Sons,1
71,Rakel,,,"Barton, Fahey and Goldner",
72,Barbette,65,,Russel-Ankunding,1
73,Ariela,35,,"Ziemann, Reichert and Jast",1
74,Mariam,70,20465,Robel and Sons,1
75,Lil,70,,MacGyver and Sons,1
76,Marley,59,11282.97,Doyle-Schroeder,1
77,Dermot,,45660.84,Predovic and Sons,0
